player_name,total_distance_avg,total_distance_recent,high_speed_distance_avg,high_speed_distance_recent,percentage_max_velocity_avg,percentage_max_velocity_recent,gen2_acceleration_band6plus_total_effort_count_avg,gen2_acceleration_band6plus_total_effort_count_recent,gen2_acceleration_band3plus_total_effort_count_avg,gen2_acceleration_band3plus_total_effort_count_recent,total_player_load_avg,total_player_load_recent,player_load_per_minute_avg,player_load_per_minute_recent,meterage_per_minute_avg,meterage_per_minute_recent,total_acceleration_load_avg,total_acceleration_load_recent,Jump Height (Flight Time)_avg,Jump Height (Flight Time)_recent,RSI-Modified_avg,RSI-Modified_recent,Concentric Mean Force_avg,Concentric Mean Force_recent,leftAvgForce_avg,leftAvgForce_recent,leftImpulse_avg,leftImpulse_recent,leftMaxForce_avg,leftMaxForce_recent,leftTorque_avg,leftTorque_recent,rightAvgForce_avg,rightAvgForce_recent,rightImpulse_avg,rightImpulse_recent,rightMaxForce_avg,rightMaxForce_recent,rightTorque_avg,rightTorque_recent
Player 1,4748.247006419177,2964.533239283559,292.3199182177343,131.95345881487563,81.07871419617146,65.89583947505616,126.0,93.0,125.0,94.0,503.8671987960489,357.7285666041855,8.296175584092447,6.464438965453813,73.58754498650066,64.92231758991521,1337.639626796369,944.6201107673758,27.06435797071394,26.32108568631748,64.7218677252703,66.30179374007822,503.7589893139277,622.3728880321005,282.93070092174423,299.9563999364708,2839.6132950533506,3121.0949152810763,288.1308384713399,289.7407266474224,133.98878214916232,141.08387088698018,276.8561853092943,320.3137015721736,3085.796762936737,3109.77223239729,283.57425528111094,336.46712870651174,126.9742173845594,182.6586700141754
Player 10,2646.5359842723965,1953.1704404471104,126.35820554862066,22.559461834299352,66.27524471110434,52.72228749152352,72.0,41.0,71.0,34.0,319.45225701108563,256.4109279575304,6.540142001358687,4.857311538455489,44.46918335209822,36.2701448463154,898.4316358170703,564.3751656376276,29.507924105719304,32.3908907264906,57.37742564038154,58.1089053747413,552.1488670673194,647.665448895712,288.649543284105,322.50915752307293,4284.434663779512,3983.864983688125,303.1387914086819,309.9441436619805,151.04341805439233,142.53971739982674,318.5224373434133,422.4662918855079,4205.350096247893,4311.543319780343,351.6183107843419,383.3337537697302,161.4324582998309,166.4594119287299
Player 11,4833.250261281072,2687.5035648217545,137.89288403669167,31.485017886891576,86.72455252427167,65.01278243879531,125.0,86.0,113.0,76.0,585.1097428325946,314.4874915086474,7.68329434299752,5.756778942347615,62.1967651711466,50.22198890153103,1542.886892788351,977.3712492281776,32.726840998295195,30.84675547529124,40.437934253668615,29.937528024452718,619.7224218129745,633.0122789534588,332.5828571086984,329.91871991069667,3663.8147960480874,4190.043412827584,348.45176011256046,359.85873737315745,155.02587668464872,160.04707372894447,324.10840605379514,286.96628331059503,2719.331127636734,3698.860324654068,312.2407057655309,277.9748001113685,156.74343790593122,129.54693745408971
Player 12,6276.905150224311,4021.8959554956095,292.6261871392968,155.5521372477239,80.58156716226597,70.03865881976213,163.0,116.0,157.0,114.0,570.7565806230074,395.199439577712,7.340985999346198,5.089420991849589,71.60793254947464,54.62867369408387,1653.1570933565492,1148.7443540183867,48.26430907684345,27.726418329826465,72.81042578273278,33.809524813654285,454.84197687663294,549.9334600869909,274.86848168651653,306.94941996521607,3924.939903928999,4145.3060475724205,307.7878941422484,302.0081251686408,147.0931617461898,142.81877785114713,297.92659273620086,318.42389064364727,3531.5036739748807,4773.466982877899,298.0294701106083,310.71960425095244,142.95411037940596,151.18092714591484
Player 13,3873.250323241017,,213.05251201506616,,81.1858358201118,,103.0,,91.0,,379.57340674852935,,6.803570283525724,,69.95745466009966,,1078.59873265562,,31.120965778640237,31.887817855179943,31.220342491776947,33.119243282901365,550.3007035163871,530.105576922289,191.231380423006,219.3135861284463,2037.4538765540456,1605.5244397954818,255.94617806314344,213.18945616305,95.80877199241236,81.17467257780291,229.04778220779545,185.21281577296264,2139.916997274468,1349.8147278732415,233.2544194214937,200.26147153356413,97.22438981724537,80.4756816796169
Player 14,4008.956121316666,,189.0107978918918,,87.27263902542909,,109.0,,112.0,,441.6920739597955,,7.344355604988314,,69.98536330502309,,1224.0400639563504,,29.250829563817742,29.14956084818301,43.90254008598746,31.29878461795612,558.2010638397654,537.2779198598374,141.39380355895398,165.0567024431471,1374.5047919174908,1425.9161468189284,179.56326327092188,159.7571096117733,61.96416343637621,68.04339323117978,185.10050562390117,175.35715700914352,1578.8978774782147,1733.14613710591,178.55599772789034,178.81030805517167,66.90741631699154,69.59291908181022
Player 15,4062.5266990549135,4254.090191789069,124.39212665984412,139.4703558544104,60.02830243960497,60.44590247136388,98.0,126.0,93.0,114.0,433.9806025315357,403.3784205317287,6.3508383643194,4.848366827294777,62.2924090634291,50.16687912587932,1150.806940221894,1271.0597137218645,35.16352929141813,33.65047356636473,39.25583990307435,32.673589265358245,602.5103206282345,671.9619101917193,225.0810615999211,172.78036485968488,1709.3619378645783,1145.6355513536118,259.37579307285426,175.83159403433513,124.72812640660416,91.5057618297222,338.6845414693752,348.07311734658765,1992.2252869992249,1918.824135951696,307.19477105645973,370.50805437339375,170.6395730118525,199.4302411551639
Player 16,3163.918960911236,2301.4361839899,289.8880581956144,101.42924639517108,86.62560272032421,54.44734142391365,87.0,76.0,81.0,69.0,336.49585552211335,229.61048580643143,6.202835421398237,4.750860742803785,52.14344997026219,42.15840942462868,1007.8010776656196,710.6484717062053,27.71623705101374,25.45795809434824,27.135838878070263,22.78164569962857,611.7634111794841,595.713948620224,256.01367798266926,267.46289940151496,1632.9975792971795,2026.731754972761,265.36770554650906,259.50521100039015,73.98451075945738,72.32791315735322,251.66566533230693,253.5996109454608,1847.409971714852,2127.864602740026,271.9957046360322,228.63923851298892,110.94260824734104,106.41202344389062
Player 17,5383.295699538665,3454.274238082221,273.2341791660968,195.22740716287592,85.43888242075265,69.47028227917073,152.0,114.0,138.0,101.0,622.4723936516157,486.16300519757215,8.629224772622555,6.75390804745731,71.46408217482329,51.36270385992152,1494.0018516048508,983.7716782229298,25.81286951484904,26.64788723539162,46.068440799711546,63.71663938118268,571.6802826959874,690.8662809961187,280.50383282490003,278.97032823635544,3024.6507448471552,3057.5136055381267,283.9017059192228,278.9336820063365,125.06547817463722,117.67802067190584,320.9071910829573,350.4259482591161,3180.190862115825,3672.1031776390455,345.4250836486344,358.9571108573534,134.41697500224885,162.3872492107027
Player 18,5274.463651668984,3621.7823705277874,127.41937998677165,51.37164887424673,73.8454977312407,53.14655029313703,142.0,100.0,153.0,106.0,513.4046799506324,347.7082623117892,6.418502336640789,4.724231435350099,71.34031834143818,44.44079945335528,1607.6482664486812,1022.235775925114,30.503227661160327,31.52581878251757,32.07943384453001,32.32586884807917,515.0320287260311,568.3988673177006,291.3819973684061,280.631253198985,2935.836385231159,2344.4701584246054,294.6043980527714,283.8846068797303,134.39219925942018,134.05423029505744,266.67807888776457,257.26265730073715,2791.0606490097257,2068.639615412577,247.59990066030608,261.6496157937725,134.61386397976955,127.80246159952668
