player_name,player_id,vald_id,Jump Height (Flight Time)_avg,Jump Height (Flight Time)_recent,Jump Height (Flight Time)_n,RSI-Modified_avg,RSI-Modified_recent,RSI-Modified_n,Peak Power / BM_avg,Peak Power / BM_recent,Peak Power / BM_n,Countermovement Depth_avg,Countermovement Depth_recent,Countermovement Depth_n,Concentric Mean Force_avg,Concentric Mean Force_recent,Concentric Mean Force_n
Player 29,29,29,34.98010336949932,36.81104357891232,30,47.30936558245621,32.55503777121405,33,44.71033871771048,48.532241449620344,33,-24.195254939617442,-32.45927238609246,29,532.9714754595898,527.6917324881268,126
Player 40,40,40,36.282151290498724,38.507198844669325,34,40.87016471606701,43.09759388461477,35,65.81895978354618,237.2256804207181,34,-31.34351608175205,-69.81490659713985,36,687.5735593402987,569.0752906034298,135
Player 1,1,1,27.06435797071394,26.321085686317478,36,64.7218677252703,66.30179374007822,37,46.179497902033454,40.76673859007024,37,-12.394456437223388,-1.4170268542907851,38,503.7589893139277,622.3728880321005,148
Player 20,20,20,23.617802398240347,23.43848801752114,37,30.539715792652682,26.57502028988081,34,43.123571242613,46.753337321695916,35,-31.42107737113855,-24.930386742538992,35,643.8066652582285,703.569913243742,143
Player 18,18,18,30.503227661160327,31.52581878251757,43,32.07943384453001,32.32586884807917,41,43.62287989649294,53.22622724719614,43,-35.694848376929386,-39.68963152802707,40,515.0320287260311,568.3988673177006,163
Player 11,11,11,32.726840998295195,30.84675547529124,38,40.437934253668615,29.937528024452714,40,51.239540628395936,41.040265469814635,40,-29.356208393402184,-35.73713331443512,37,619.7224218129745,633.0122789534588,155
Player 25,25,25,28.439174522419975,29.027037253868002,39,37.57095692940318,39.012270809148724,37,42.83508410570856,55.58636159982657,39,-29.880381996297668,-27.71904027971157,39,643.2042095142458,670.107248714358,147
Player 23,23,23,37.700913703159,35.45321612615205,36,39.49199665263323,40.866503657379795,35,62.103533011817916,55.58155602155685,38,-32.121769507783696,-32.074260397377685,36,522.2099612371878,533.6251833011645,149
Player 26,26,26,26.444705402773355,25.1370355271627,33,31.752169767331598,25.906283394340857,32,38.93730518749388,40.451418770911786,33,-36.22956950626102,-42.564841160831,33,502.78689886835446,480.11408350173195,127
Player 21,21,21,37.392777282076565,33.82805721111636,39,43.349363267745055,83.97201880814166,37,59.59617817352707,50.985165175141674,36,-30.43504686164335,0.0,39,590.1864014711637,573.2872403380841,150
Player 39,39,39,38.69039596182325,37.82952756863994,38,37.91023468715744,41.133091503689045,36,44.226602481260336,54.91388518020302,39,-35.8230476436951,-39.21939610345544,36,515.7151380041975,579.5191124218294,153
